一,A00001
欖,A02051
欠,A02052
次,A02053
欣,A02054
欲,A02055
款,A02056
欺,A02057
欽,A02058
歇,A02059
歉,A02060
歌,A02061
歐,A02062
歙,A02063
歟,A02064
歡,A02065
止,A02066
正,A02067
此,A02068
步,A02069
武,A02070
歧,A02071
歪,A02072
歲,A02073
歷,A02074
歸,A02075
歹,A02076
死,A02077
歿,A02078
殃,A02079
殆,A02080
殊,A02081
殉,A02082
殘,A02083
殖,A02084
殤,A02085
殮,A02086
殯,A02087
殲,A02088
段,A02089
殷,A02090
殺,A02091
殼,A02092
毀,A02093
殿,A02094
毅,A02095
毆,A02096
毋,A02097
母,A02098
每,A02099
毒,A02100
毓,A02101
比,A02102
毗,A02103
毛,A02104
毫,A02105
毯,A02106
毽,A02107
氏,A02108
民,A02109
氐,A02110
氓,A02111
氖,A02112
氛,A02113
氟,A02114
氣,A02115
氧,A02116
氨,A02117
氦,A02118
氤,A02119
氫,A02120
氮,A02121
氯,A02122
氳,A02123
水,A02124
永,A02125
汁,A02126
汀,A02127
氾,A02128
求,A02129
汝,A02130
汗,A02131
汙,A02132
江,A02133
池,A02134
汐,A02135
汕,A02136
汞,A02137
沙,A02138
沁,A02139
沈,A02140
沉,A02141
沅,A02142
沛,A02143
汪,A02144
決,A02145
沐,A02146
汰,A02147
沌,A02148
汨,A02149
沖,A02150
沒,A02151
汽,A02152
沃,A02153
汲,A02154
汾,A02155
泣,A02156
注,A02157
泳,A02158
沱,A02159
泌,A02160
泥,A02161
河,A02162
沽,A02163
沾,A02164
沼,A02165
波,A02166
沫,A02167
法,A02168
泓,A02169
沸,A02170
泄,A02171
油,A02172
況,A02173
沮,A02174
泗,A02175
泅,A02176
泱,A02177
沿,A02178
治,A02179
泡,A02180
泛,A02181
泊,A02182
泉,A02183
泰,A02184
洋,A02185
洲,A02186
洪,A02187
流,A02188
津,A02189
洌,A02190
洱,A02191
洞,A02192
洗,A02193
活,A02194
洽,A02195
派,A02196
洶,A02197
洛,A02198
浪,A02199
涕,A02200
消,A02201
涇,A02202
浦,A02203
浸,A02204
海,A02205
浙,A02206
涓,A02207
浬,A02208
涉,A02209
浮,A02210
浚,A02211
浴,A02212
浩,A02213
涎,A02214
涼,A02215
淳,A02216
淙,A02217
液,A02218
淡,A02219
淌,A02220
淤,A02221
添,A02222
淺,A02223
清,A02224
淇,A02225
淋,A02226
涯,A02227
淑,A02228
涮,A02229
淞,A02230
淹,A02231
涸,A02232
混,A02233
淵,A02234
淅,A02235
淒,A02236
渚,A02237
涵,A02238
淚,A02239
淫,A02240
淘,A02241
淪,A02242
深,A02243
淮,A02244
淨,A02245
淆,A02246
淄,A02247
港,A02248
游,A02249
湔,A02250
渡,A02251
渲,A02252
湧,A02253
湊,A02254
渠,A02255
渥,A02256
渣,A02257
減,A02258
湛,A02259
湘,A02260
渤,A02261
湖,A02262
湮,A02263
渭,A02264
渦,A02265
湯,A02266
渴,A02267
湍,A02268
渺,A02269
測,A02270
湃,A02271
渝,A02272
渾,A02273
滋,A02274
溉,A02275
渙,A02276
溢,A02277
溯,A02278
滓,A02279
溶,A02280
滂,A02281
源,A02282
溝,A02283
滇,A02284
滅,A02285
溥,A02286
溘,A02287
溼,A02288
溺,A02289
溫,A02290
滑,A02291
準,A02292
溜,A02293
滄,A02294
滔,A02295
溪,A02296
漳,A02297
演,A02298
滾,A02299
漓,A02300
滴,A02301
漩,A02302
漾,A02303
漠,A02304
漬,A02305
漏,A02306
漂,A02307
漢,A02308
滿,A02309
滯,A02310
漆,A02311
漱,A02312
漸,A02313
漲,A02314
漣,A02315
漕,A02316
漫,A02317
漯,A02318
澈,A02319
漪,A02320
滬,A02321
漁,A02322
滲,A02323
滌,A02324
漿,A02325
潼,A02326
澄,A02327
潑,A02328
潦,A02329
潔,A02330
澆,A02331
潭,A02332
潛,A02333
潸,A02334
潮,A02335
澎,A02336
潺,A02337
潰,A02338
潤,A02339
澗,A02340
潘,A02341
濂,A02342
澱,A02343
澡,A02344
濃,A02345
澤,A02346
濁,A02347
澧,A02348
澳,A02349
激,A02350
澹,A02351
濘,A02352
濱,A02353
濟,A02354
濠,A02355
濛,A02356
濤,A02357
濫,A02358
濯,A02359
澀,A02360
濬,A02361
濡,A02362
瀉,A02363
瀋,A02364
濾,A02365
瀆,A02366
濺,A02367
瀑,A02368
瀏,A02369
瀛,A02370
瀟,A02371
瀨,A02372
瀚,A02373
瀝,A02374
瀕,A02375
瀾,A02376
瀰,A02377
灌,A02378
灑,A02379
灘,A02380
灣,A02381
灤,A02382
火,A02383
灰,A02384
灶,A02385
灼,A02386
災,A02387
灸,A02388
炕,A02389
炎,A02390
炒,A02391
炊,A02392
炙,A02393
炫,A02394
為,A02395
炳,A02396
炬,A02397
炯,A02398
炭,A02399
炸,A02400
炮,A02401
烊,A02402
烘,A02403
烤,A02404
烙,A02405
烈,A02406
烏,A02407
烹,A02408
焉,A02409
焊,A02410
烽,A02411
焙,A02412
焚,A02413
焦,A02414
焰,A02415
無,A02416
然,A02417
煮,A02418
煎,A02419
煙,A02420
煩,A02421
煤,A02422
煉,A02423
照,A02424
煜,A02425
煬,A02426
煦,A02427
煌,A02428
煥,A02429
煞,A02430
熔,A02431
熙,A02432
煽,A02433
熊,A02434
熄,A02435
熟,A02436
熬,A02437
熱,A02438
熨,A02439
熾,A02440
燉,A02441
燐,A02442
燒,A02443
燈,A02444
燕,A02445
熹,A02446
燎,A02447
燙,A02448
燜,A02449
燃,A02450
燄,A02451
燧,A02452
營,A02453
燮,A02454
燦,A02455
燥,A02456
燭,A02457
燬,A02458
燴,A02459
燻,A02460
爆,A02461
爍,A02462
爐,A02463
爛,A02464
爨,A02465
爪,A02466
爬,A02467
爭,A02468
爰,A02469
爵,A02470
父,A02471
爸,A02472
爹,A02473
爺,A02474
爻,A02475
爽,A02476
爾,A02477
牆,A02478
片,A02479
版,A02480
牌,A02481
牒,A02482
牖,A02483
牘,A02484
牙,A02485
牛,A02486
牟,A02487
牝,A02488
牢,A02489
牡,A02490
牠,A02491
牧,A02492
物,A02493
牲,A02494
牯,A02495
牴,A02496
特,A02497
牽,A02498
犁,A02499
犄,A02500
犀,A02501
犒,A02502
犖,A02503
犛,A02504
犢,A02505
犧,A02506
犬,A02507
犯,A02508
狄,A02509
狂,A02510
狀,A02511
狎,A02512
狙,A02513
狗,A02514
狐,A02515
狩,A02516
狠,A02517
狡,A02518
狼,A02519
狹,A02520
狽,A02521
狸,A02522
狷,A02523
猜,A02524
猛,A02525
猖,A02526
猓,A02527
猙,A02528
猶,A02529
猥,A02530
猴,A02531
猩,A02532
猷,A02533
獅,A02534
猿,A02535
猾,A02536
獄,A02537
獐,A02538
獎,A02539
獗,A02540
獨,A02541
獰,A02542
獲,A02543
獷,A02544
獵,A02545
獸,A02546
獺,A02547
獻,A02548
玀,A02549
玄,A02550
率,A02551
王,A02552
玉,A02553
玖,A02554
玩,A02555
玨,A02556
玟,A02557
玫,A02558
玷,A02559
珊,A02560
玻,A02561
玲,A02562
珍,A02563
珀,A02564
玳,A02565
班,A02566
琉,A02567
珮,A02568
珠,A02569
琅,A02570
琊,A02571
球,A02572
理,A02573
現,A02574
琍,A02575
琺,A02576
琪,A02577
琳,A02578
琢,A02579
琥,A02580
琵,A02581
琶,A02582
琴,A02583
瑯,A02584
瑚,A02585
瑕,A02586
瑟,A02587
瑞,A02588
瑁,A02589
琿,A02590
瑙,A02591
瑛,A02592
瑜,A02593
瑤,A02594
瑣,A02595
瑪,A02596
瑰,A02597
瑩,A02598
璋,A02599
璃,A02600
璜,A02601
璣,A02602
璩,A02603
環,A02604
璦,A02605
璧,A02606
璽,A02607
瓊,A02608
瓏,A02609
瓜,A02610
瓠,A02611
瓢,A02612
瓣,A02613
瓦,A02614
瓶,A02615
瓷,A02616
甄,A02617
甌,A02618
甕,A02619
甘,A02620
甚,A02621
甜,A02622
生,A02623
產,A02624
甥,A02625
甦,A02626
用,A02627
甩,A02628
甬,A02629
甫,A02630
甭,A02631
田,A02632
由,A02633
甲,A02634
申,A02635
男,A02636
甸,A02637
甽,A02638
畏,A02639
界,A02640
畔,A02641
畝,A02642
畜,A02643
畚,A02644
留,A02645
略,A02646
畦,A02647
畢,A02648
異,A02649
畫,A02650
番,A02651
當,A02652
畸,A02653
疇,A02654
疆,A02655
疊,A02656
疋,A02657
疏,A02658
疑,A02659
疝,A02660
疙,A02661
疚,A02662
疫,A02663
疤,A02664
疥,A02665
疾,A02666
病,A02667
症,A02668
疲,A02669
疳,A02670
疽,A02671
疼,A02672
疹,A02673
痊,A02674
痔,A02675
痕,A02676
疵,A02677
痢,A02678
痛,A02679
痣,A02680
痙,A02681
痘,A02682
痞,A02683
瘀,A02684
痰,A02685
瘁,A02686
痲,A02687
痱,A02688
痺,A02689
痿,A02690
痴,A02691
瘧,A02692
瘍,A02693
瘋,A02694
瘉,A02695
瘓,A02696
瘠,A02697
瘩,A02698
瘟,A02699
瘤,A02700
瘦,A02701
瘡,A02702
瘴,A02703
瘸,A02704
癆,A02705
療,A02706
癌,A02707
癖,A02708
癘,A02709
癒,A02710
癢,A02711
癥,A02712
癩,A02713
癮,A02714
癬,A02715
癱,A02716
癲,A02717
癸,A02718
登,A02719
發,A02720
白,A02721
百,A02722
皂,A02723
的,A02724
皆,A02725
皇,A02726
皈,A02727
皎,A02728
皖,A02729
皓,A02730
皚,A02731
皮,A02732
皰,A02733
皴,A02734
皺,A02735
皿,A02736
盂,A02737
盈,A02738
盆,A02739
盃,A02740
益,A02741
盍,A02742
盎,A02743
盔,A02744
盒,A02745
盛,A02746
盜,A02747
盞,A02748
盟,A02749
盡,A02750
監,A02751
盤,A02752
盧,A02753
盥,A02754
盪,A02755
目,A02756
盯,A02757
盲,A02758
直,A02759
省,A02760
盹,A02761
相,A02762
眉,A02763
看,A02764
盾,A02765
盼,A02766
眩,A02767
真,A02768
眠,A02769
眨,A02770
眷,A02771
眾,A02772
眼,A02773
眶,A02774
眸,A02775
眺,A02776
睏,A02777
睛,A02778
睫,A02779
睦,A02780
睞,A02781
督,A02782
睹,A02783
睪,A02784
睬,A02785
睜,A02786
睥,A02787
睨,A02788
瞄,A02789
睽,A02790
睿,A02791
睡,A02792
瞎,A02793
瞇,A02794
瞌,A02795
瞑,A02796
瞠,A02797
瞞,A02798
瞟,A02799
瞥,A02800
瞳,A02801
瞪,A02802
瞰,A02803
瞬,A02804
瞧,A02805
瞭,A02806
瞽,A02807
瞿,A02808
瞻,A02809
矇,A02810
矓,A02811
矗,A02812
矚,A02813
矛,A02814
矜,A02815
矢,A02816
矣,A02817
知,A02818
矩,A02819
短,A02820
矮,A02821
矯,A02822
石,A02823
矽,A02824
砂,A02825
研,A02826
砌,A02827
砍,A02828
砰,A02829
砧,A02830
砸,A02831
砝,A02832
破,A02833
砷,A02834
砥,A02835
砭,A02836
硫,A02837
硃,A02838
硝,A02839
硬,A02840
硯,A02841
碎,A02842
碰,A02843
碗,A02844
碘,A02845
碌,A02846
碉,A02847
硼,A02848
碑,A02849
磁,A02850
碟,A02851
碧,A02852
碳,A02853
碩,A02854
磋,A02855
磅,A02856
確,A02857
磊,A02858
碾,A02859
磕,A02860
碼,A02861
磐,A02862
磨,A02863
磚,A02864
磬,A02865
磷,A02866
磺,A02867
磴,A02868
磯,A02869
礁,A02870
礎,A02871
礙,A02872
礦,A02873
礪,A02874
礬,A02875
礫,A02876
示,A02877
社,A02878
祀,A02879
祁,A02880
祆,A02881
祉,A02882
祈,A02883
祇,A02884
祕,A02885
祐,A02886
祠,A02887
祟,A02888
祖,A02889
神,A02890
祝,A02891
祗,A02892
祚,A02893
祥,A02894
票,A02895
祭,A02896
祺,A02897
祿,A02898
禁,A02899
禎,A02900
福,A02901
禍,A02902
禦,A02903
禧,A02904
禪,A02905
禮,A02906
禱,A02907
禹,A02908
萬,A02909
禽,A02910
禾,A02911
私,A02912
秀,A02913
禿,A02914
秉,A02915
科,A02916
秒,A02917
秋,A02918
秤,A02919
秣,A02920
秧,A02921
租,A02922
秦,A02923
秩,A02924
移,A02925
稍,A02926
稈,A02927
程,A02928
稅,A02929
稀,A02930
稜,A02931
稚,A02932
稠,A02933
稔,A02934
稟,A02935
種,A02936
稱,A02937
稿,A02938
稼,A02939
穀,A02940
稽,A02941
稷,A02942
稻,A02943
積,A02944
穎,A02945
穆,A02946
穌,A02947
穗,A02948
穡,A02949
穢,A02950
穫,A02951
穩,A02952
穴,A02953
究,A02954
空,A02955
穹,A02956
穿,A02957
突,A02958
窄,A02959
窈,A02960
窒,A02961
窕,A02962
窘,A02963
窗,A02964
窖,A02965
窟,A02966
窠,A02967
窪,A02968
窩,A02969
窯,A02970
窮,A02971
窺,A02972
竄,A02973
竅,A02974
竇,A02975
竊,A02976
立,A02977
站,A02978
童,A02979
竣,A02980
竭,A02981
端,A02982
競,A02983
竹,A02984
竺,A02985
竿,A02986
竽,A02987
笆,A02988
笑,A02989
笠,A02990
笨,A02991
笛,A02992
第,A02993
符,A02994
笙,A02995
笞,A02996
等,A02997
策,A02998
筆,A02999
筐,A03000
筒,A03001
答,A03002
筍,A03003
筋,A03004
筏,A03005
筷,A03006
節,A03007
筠,A03008
管,A03009
箕,A03010
箋,A03011
筵,A03012
算,A03013
箝,A03014
箔,A03015
箏,A03016
箭,A03017
箱,A03018
範,A03019
箴,A03020
篆,A03021
篇,A03022
篁,A03023
篙,A03024
簑,A03025
築,A03026
篤,A03027
篛,A03028
篡,A03029
篩,A03030
簇,A03031
簍,A03032
篾,A03033
篷,A03034
簫,A03035
簧,A03036
簪,A03037
簞,A03038
簣,A03039
簡,A03040
簾,A03041
簿,A03042
簸,A03043
簽,A03044
簷,A03045
籌,A03046
籃,A03047
籍,A03048
籐,A03049
籠,A03050
籟,A03051
籤,A03052
籬,A03053
籮,A03054
籲,A03055
米,A03056
粉,A03057
粒,A03058
粗,A03059
粟,A03060
粥,A03061
粱,A03062
粳,A03063
粵,A03064
粹,A03065
粽,A03066
精,A03067
糊,A03068
糕,A03069
糖,A03070
糠,A03071
糜,A03072
糞,A03073
糢,A03074
糟,A03075
糙,A03076
糧,A03077
糯,A03078
糸,A03079
系,A03080
糾,A03081
紂,A03082
紅,A03083
紀,A03084
紉,A03085
紇,A03086
約,A03087
紡,A03088
紗,A03089
紋,A03090
紊,A03091
素,A03092
索,A03093
純,A03094
紐,A03095
紕,A03096
級,A03097
紜,A03098
納,A03099
紙,A03100
紛,A03101
絆,A03102
絃,A03103
統,A03104
紮,A03105
紹,A03106
紼,A03107
絀,A03108
細,A03109
紳,A03110
組,A03111
累,A03112
終,A03113
絞,A03114
結,A03115
絨,A03116
絕,A03117
紫,A03118
絮,A03119
絲,A03120
絡,A03121
給,A03122
絢,A03123
經,A03124
絹,A03125
綑,A03126
綁,A03127
綏,A03128
綻,A03129
綰,A03130
綜,A03131
綽,A03132
綾,A03133
綠,A03134
緊,A03135
綴,A03136
網,A03137
綱,A03138
綺,A03139
綢,A03140
綿,A03141
綵,A03142
綸,A03143
維,A03144
緒,A03145
緇,A03146
締,A03147
練,A03148
緯,A03149
緻,A03150
緘,A03151
緬,A03152
緝,A03153
編,A03154
緣,A03155
線,A03156
緞,A03157
緩,A03158
綞,A03159
縊,A03160
縑,A03161
縈,A03162
縛,A03163
縣,A03164
縮,A03165
績,A03166
繆,A03167
縷,A03168
縲,A03169
繃,A03170
縫,A03171
總,A03172
縱,A03173
繅,A03174
繁,A03175
織,A03176
繕,A03177
繞,A03178
繚,A03179
繡,A03180
繫,A03181
繭,A03182
繹,A03183
繩,A03184
繪,A03185
辮,A03186
繽,A03187
繼,A03188
纂,A03189
纏,A03190
續,A03191
纓,A03192
纖,A03193
纜,A03194
缶,A03195
缸,A03196
缺,A03197
缽,A03198
罄,A03199
罈,A03200
罐,A03201
罕,A03202
罔,A03203
罟,A03204
置,A03205
罩,A03206
罪,A03207
署,A03208
罰,A03209
罵,A03210
罷,A03211
罹,A03212
羅,A03213
羈,A03214
羊,A03215
羌,A03216
羋,A03217
美,A03218
羔,A03219
羞,A03220
羚,A03221
善,A03222
義,A03223
羨,A03224
群,A03225
羯,A03226
羲,A03227
羶,A03228
羹,A03229
羸,A03230
羽,A03231
羿,A03232
翅,A03233
翁,A03234
翌,A03235
翎,A03236
習,A03237
翔,A03238
翕,A03239
翠,A03240
翡,A03241
翟,A03242
翩,A03243
翰,A03244
翱,A03245
翳,A03246
翼,A03247
翹,A03248
翻,A03249
耀,A03250
老,A03251
考,A03252
者,A03253
耆,A03254
而,A03255
耐,A03256
耍,A03257
耒,A03258
耘,A03259
耕,A03260
耙,A03261
耗,A03262
耜,A03263
耳,A03264
耶,A03265
耽,A03266
耿,A03267
聊,A03268
聆,A03269
聖,A03270
聘,A03271
聞,A03272
聚,A03273
聱,A03274
聲,A03275
聰,A03276
聯,A03277
聳,A03278
職,A03279
聶,A03280
聾,A03281
聽,A03282
聿,A03283
肆,A03284
肄,A03285
肅,A03286
肇,A03287
肉,A03288
肋,A03289
肌,A03290
肖,A03291
肓,A03292
肝,A03293
肘,A03294
肛,A03295
肚,A03296
育,A03297
肺,A03298
肥,A03299
肢,A03300
肱,A03301
股,A03302
肫,A03303
肩,A03304
肴,A03305
肪,A03306
肯,A03307
胖,A03308
胥,A03309
胚,A03310
胃,A03311
胄,A03312
背,A03313
胡,A03314
胛,A03315
胎,A03316
胞,A03317
胤,A03318
胱,A03319
脂,A03320
胰,A03321
脅,A03322
胭,A03323
胴,A03324
脆,A03325
胸,A03326
胳,A03327
脈,A03328
能,A03329
脊,A03330
脯,A03331
脖,A03332
脣,A03333
脫,A03334
脩,A03335
腕,A03336
腔,A03337
腋,A03338
腑,A03339
腎,A03340
脹,A03341
腆,A03342
脾,A03343
腐,A03344
腱,A03345
腰,A03346
腸,A03347
腥,A03348
腮,A03349
腳,A03350
腫,A03351
腹,A03352
腺,A03353
腦,A03354
膀,A03355
膏,A03356
膈,A03357
膊,A03358
腿,A03359
膛,A03360
膜,A03361
膝,A03362
膠,A03363
膚,A03364
膳,A03365
膩,A03366
膨,A03367
臆,A03368
臃,A03369
膺,A03370
臂,A03371
臀,A03372
膿,A03373
膽,A03374
臉,A03375
膾,A03376
臍,A03377
臏,A03378
臘,A03379
臚,A03380
臟,A03381
臣,A03382
臥,A03383
臧,A03384
臨,A03385
自,A03386
臭,A03387
臬,A03388
至,A03389
致,A03390
臺,A03391
臻,A03392
臼,A03393
臾,A03394
舀,A03395
舂,A03396
舅,A03397
與,A03398
興,A03399
舉,A03400
舊,A03401
舌,A03402
舍,A03403
舐,A03404
舒,A03405
舔,A03406
舛,A03407
舜,A03408
舞,A03409
舟,A03410
舢,A03411
航,A03412
舫,A03413
舨,A03414
般,A03415
舵,A03416
舷,A03417
舶,A03418
船,A03419
艇,A03420
艘,A03421
艙,A03422
艦,A03423
艮,A03424
良,A03425
艱,A03426
色,A03427
艾,A03428
芒,A03429
芋,A03430
芍,A03431
芳,A03432
芝,A03433
芙,A03434
芭,A03435
芽,A03436
芟,A03437
芹,A03438
花,A03439
芬,A03440
芥,A03441
芻,A03442
苧,A03443
范,A03444
茅,A03445
苣,A03446
苛,A03447
苦,A03448
茄,A03449
若,A03450
茂,A03451
茉,A03452
苒,A03453
苗,A03454
英,A03455
茁,A03456
苜,A03457
苔,A03458
苑,A03459
苞,A03460
苓,A03461
苟,A03462
茫,A03463
荒,A03464
荔,A03465
荊,A03466
茸,A03467
荐,A03468
草,A03469
茵,A03470
茴,A03471
荏,A03472
茲,A03473
茹,A03474
茶,A03475
茗,A03476
荀,A03477
茱,A03478
莎,A03479
莞,A03480
莘,A03481
荸,A03482
莢,A03483
莖,A03484
莽,A03485
莫,A03486
莒,A03487
莊,A03488
莓,A03489
莉,A03490
莠,A03491
荷,A03492
荻,A03493
荼,A03494
菩,A03495
萃,A03496
菸,A03497
萍,A03498
菠,A03499
菅,A03500
萋,A03501
菁,A03502
華,A03503
菱,A03504
菴,A03505
著,A03506
萊,A03507
菰,A03508
萌,A03509
菌,A03510
菽,A03511
菲,A03512
菊,A03513
萸,A03514
萎,A03515
萄,A03516
菜,A03517
蒂,A03518
葷,A03519
落,A03520
萱,A03521
葵,A03522
葦,A03523
葫,A03524
葉,A03525
葬,A03526
葛,A03527
萼,A03528
萵,A03529
葡,A03530
董,A03531
葩,A03532
蓉,A03533
蒿,A03534
蓆,A03535
蓄,A03536
蒙,A03537
蒞,A03538
蒲,A03539
蒜,A03540
蓋,A03541
蒸,A03542
蓀,A03543
蓓,A03544
蒐,A03545
蒼,A03546
蔗,A03547
蔽,A03548
蔚,A03549
蓮,A03550
蔬,A03551
蔭,A03552
蔓,A03553
蔑,A03554
蔣,A03555
蔡,A03556
蔔,A03557
蓬,A03558
蔥,A03559
蓿,A03560
蕊,A03561
蕙,A03562
蕈,A03563
蕨,A03564
蕩,A03565
蕃,A03566
蕉,A03567
蕭,A03568
蕪,A03569
薪,A03570
薄,A03571
蕾,A03572
薜,A03573
薑,A03574
薔,A03575
薯,A03576
薛,A03577
薇,A03578
藏,A03579
薩,A03580
藍,A03581
藐,A03582
藉,A03583
薰,A03584
藩,A03585
藝,A03586
藪,A03587
藕,A03588
藤,A03589
藥,A03590
藻,A03591
藹,A03592
蘑,A03593
藺,A03594
蘆,A03595
蘋,A03596
蘇,A03597
蘊,A03598
蘗,A03599
蘭,A03600
蘚,A03601
蘸,A03602
蘿,A03603
虎,A03604
虐,A03605
虔,A03606
處,A03607
彪,A03608
虛,A03609
虜,A03610
虞,A03611
號,A03612
虧,A03613
虫,A03614
虱,A03615
虹,A03616
蚊,A03617
蚪,A03618
蚓,A03619
蚤,A03620
蚩,A03621
蚌,A03622
蚣,A03623
蛇,A03624
蛀,A03625
蚶,A03626
蛄,A03627
蚵,A03628
蛆,A03629
蛋,A03630
蚱,A03631
蚯,A03632
蛟,A03633
蛙,A03634
蛭,A03635
蛔,A03636
蛛,A03637
蛤,A03638
蛹,A03639
蜓,A03640
蜈,A03641
蜇,A03642
蜀,A03643
蛾,A03644
蛻,A03645
蜂,A03646
蜃,A03647
蜿,A03648
蜜,A03649
蜻,A03650
蜢,A03651
蜥,A03652
蜴,A03653
蜘,A03654
蝕,A03655
螂,A03656
蝴,A03657
蝶,A03658
蝠,A03659
蝦,A03660
蝸,A03661
蝨,A03662
蝙,A03663
蝗,A03664
蝌,A03665
螃,A03666
螟,A03667
螞,A03668
螢,A03669
融,A03670
蟀,A03671
蟑,A03672
螳,A03673
蟒,A03674
蟆,A03675
螫,A03676
螻,A03677
螺,A03678
蟈,A03679
蟋,A03680
蟯,A03681
蟬,A03682
蟲,A03683
蟻,A03684
蠅,A03685
蠍,A03686
蟹,A03687
蠔,A03688
蠕,A03689
蠣,A03690
蠢,A03691
蠡,A03692
蠟,A03693
蠱,A03694
蠶,A03695
蠹,A03696
蠻,A03697
血,A03698
行,A03699
衍,A03700
術,A03701
街,A03702
衙,A03703
衛,A03704
衝,A03705
衡,A03706
衢,A03707
衣,A03708
初,A03709
表,A03710
衫,A03711
衰,A03712
衷,A03713
袁,A03714
袂,A03715
袞,A03716
袈,A03717
被,A03718
袒,A03719
袖,A03720
袍,A03721
袋,A03722
裁,A03723
裂,A03724
袱,A03725
裟,A03726
裔,A03727
裙,A03728
補,A03729
裘,A03730
裝,A03731
裡,A03732
裊,A03733
裕,A03734
裳,A03735
褂,A03736
裴,A03737
裹,A03738
裸,A03739
製,A03740
裨,A03741
褚,A03742
褐,A03743
複,A03744
褒,A03745
褓,A03746
褪,A03747
褲,A03748
褥,A03749
褫,A03750
褻,A03751
褶,A03752
襄,A03753
褸,A03754
襠,A03755
襟,A03756
襖,A03757
襤,A03758
襪,A03759
襲,A03760
襯,A03761
西,A03762
要,A03763
覃,A03764
覆,A03765
見,A03766
覓,A03767
規,A03768
視,A03769
親,A03770
覦,A03771
覬,A03772
覲,A03773
覺,A03774
覽,A03775
觀,A03776
角,A03777
解,A03778
觴,A03779
觸,A03780
言,A03781
計,A03782
訂,A03783
訃,A03784
記,A03785
訐,A03786
討,A03787
訌,A03788
訕,A03789
訊,A03790
託,A03791
訓,A03792
訖,A03793
訪,A03794
訝,A03795
訣,A03796
訥,A03797
許,A03798
設,A03799
訟,A03800
訛,A03801
註,A03802
詠,A03803
評,A03804
詞,A03805
証,A03806
詁,A03807
詔,A03808
詛,A03809
詐,A03810
詆,A03811
訴,A03812
診,A03813
詫,A03814
該,A03815
詳,A03816
試,A03817
詩,A03818
詰,A03819
誇,A03820
詼,A03821
詣,A03822
誠,A03823
話,A03824
誅,A03825
詭,A03826
詢,A03827
詮,A03828
詬,A03829
詹,A03830
誦,A03831
誌,A03832
語,A03833
誣,A03834
認,A03835
誡,A03836
誓,A03837
誤,A03838
說,A03839
誥,A03840
誨,A03841
誘,A03842
誑,A03843
誼,A03844
諒,A03845
談,A03846
諄,A03847
誕,A03848
請,A03849
諸,A03850
課,A03851
諉,A03852
諂,A03853
調,A03854
誰,A03855
論,A03856
諍,A03857
諦,A03858
諺,A03859
諫,A03860
諱,A03861
謀,A03862
諜,A03863
諧,A03864
諮,A03865
諾,A03866
謁,A03867
謂,A03868
諷,A03869
諭,A03870
謎,A03871
謗,A03872
謙,A03873
講,A03874
謊,A03875
謠,A03876
謝,A03877
謄,A03878
謨,A03879
謹,A03880
謬,A03881
譁,A03882
譜,A03883
識,A03884
證,A03885
譚,A03886
譎,A03887
譏,A03888
議,A03889
譬,A03890
警,A03891
譯,A03892
譴,A03893
護,A03894
譽,A03895
讀,A03896
變,A03897
讓,A03898
讒,A03899
讖,A03900
讚,A03901
谷,A03902
豁,A03903
谿,A03904
豆,A03905
豈,A03906
豉,A03907
豌,A03908
豎,A03909
豐,A03910
豔,A03911
豕,A03912
豚,A03913
象,A03914
豢,A03915
豪,A03916
豬,A03917
豫,A03918
豺,A03919
豹,A03920
貂,A03921
貊,A03922
貉,A03923
貍,A03924
貌,A03925
貓,A03926
貝,A03927
貞,A03928
負,A03929
財,A03930
貢,A03931
販,A03932
責,A03933
貫,A03934
貨,A03935
貪,A03936
貧,A03937
貯,A03938
貼,A03939
貳,A03940
貽,A03941
賁,A03942
費,A03943
賀,A03944
貴,A03945
買,A03946
貶,A03947
貿,A03948
貸,A03949
賊,A03950
資,A03951
賈,A03952
賄,A03953
貲,A03954
賃,A03955
賂,A03956
賅,A03957
賓,A03958
賑,A03959
賒,A03960
賠,A03961
賞,A03962
賦,A03963
賤,A03964
賬,A03965
賭,A03966
賢,A03967
賣,A03968
賜,A03969
質,A03970
賴,A03971
賺,A03972
賽,A03973
購,A03974
贅,A03975
贈,A03976
贊,A03977
贏,A03978
贍,A03979
贓,A03980
贖,A03981
贗,A03982
贛,A03983
赤,A03984
赧,A03985
赦,A03986
赫,A03987
赭,A03988
走,A03989
赴,A03990
赳,A03991
起,A03992
越,A03993
超,A03994
趁,A03995
趙,A03996
趕,A03997
趟,A03998
趣,A03999
趨,A04000
足,A04001
趴,A04002
趾,A04003
跎,A04004
距,A04005
跋,A04006
跚,A04007
跑,A04008
跌,A04009
跛,A04010
跆,A04011
跡,A04012
跟,A04013
跨,A04014
路,A04015
跳,A04016
跺,A04017
跪,A04018
跼,A04019
踫,A04020
踐,A04021
踝,A04022
踢,A04023
踏,A04024
踩,A04025
踟,A04026
蹄,A04027
踱,A04028
踴,A04029
蹂,A04030
踹,A04031
踵,A04032
蹉,A04033
蹋,A04034
蹈,A04035
蹊,A04036
蹙,A04037
蹣,A04038
蹦,A04039
蹤,A04040
蹼,A04041
蹲,A04042
躇,A04043
蹶,A04044
蹬,A04045
蹺,A04046
躉,A04047
躁,A04048
躅,A04049
躂,A04050
躊,A04051
躍,A04052
躑,A04053
躡,A04054
躪,A04055
身,A04056
躬,A04057
